date,ticker,p,rank,train_cutoff
2026-09-21,139130,0.01435170,67,2025-11-27
2026-09-21,029780,0.01435039,68,2025-11-27
2026-09-21,034220,0.01419686,69,2025-11-27
2026-09-21,122870,0.01415546,70,2025-11-27
2026-09-21,454910,0.01407630,71,2025-11-27
2026-09-21,356860,0.01364763,72,2025-11-27
2026-09-21,457190,0.01355669,73,2025-11-27
2026-09-21,000250,0.01353747,74,2025-11-27
2026-09-21,034230,0.01319670,75,2025-11-27
2026-09-21,189300,0.01283089,76,2025-11-27
2026-09-21,005940,0.01272223,77,2025-11-27
2026-09-21,003380,0.01261165,78,2025-11-27
2026-09-21,000270,0.01242175,79,2025-11-27
2026-09-21,066970,0.01231544,80,2025-11-27
2026-09-21,028670,0.01230843,81,2025-11-27
2026-09-21,004800,0.01226115,82,2025-11-27
2026-09-21,271560,0.01203718,83,2025-11-27
2026-09-21,024110,0.01182250,84,2025-11-27
2026-09-21,023530,0.01167733,85,2025-11-27
2026-09-21,204320,0.01166363,86,2025-11-27
2026-09-21,006110,0.01166277,87,2025-11-27
2026-09-21,005850,0.01160326,88,2025-11-27
2026-09-21,141080,0.01157901,89,2025-11-27
2026-09-21,005880,0.01135971,90,2025-11-27
2026-09-21,490470,0.01135293,91,2025-11-27
2026-09-21,003690,0.01130620,92,2025-11-27
2026-09-21,241710,0.01123484,93,2025-11-27
2026-09-21,323410,0.01090380,94,2025-11-27
2026-09-21,081660,0.01088202,95,2025-11-27
2026-09-21,144960,0.01057045,96,2025-11-27
2026-09-21,207940,0.01046154,97,2025-11-27
2026-09-21,082920,0.01038784,98,2025-11-27
2026-09-21,267250,0.00977326,99,2025-11-27
2026-09-21,294870,0.00965550,100,2025-11-27
2026-09-21,018260,0.00958360,101,2025-11-27
2026-09-21,039200,0.00946517,102,2025-11-27
2026-09-21,161390,0.00940232,103,2025-11-27
2026-09-21,004370,0.00928512,104,2025-11-27
2026-09-21,078600,0.00889362,105,2025-11-27
2026-09-21,226950,0.00887154,106,2025-11-27
2026-09-21,383220,0.00869809,107,2025-11-27
2026-09-21,445680,0.00852435,108,2025-11-27
2026-09-21,034730,0.00806814,109,2025-11-27
2026-09-21,003550,0.00796972,110,2025-11-27
2026-09-21,050890,0.00778829,111,2025-11-27
2026-09-21,329180,0.00768593,112,2025-11-27
2026-09-21,028300,0.00720385,113,2025-11-27
2026-09-21,078930,0.00689446,114,2025-11-27
2026-09-21,091580,0.00669275,115,2025-11-27
2026-09-21,241560,0.00660380,116,2025-11-27
2026-09-21,064350,0.00650028,117,2025-11-27
2026-09-21,035250,0.00640600,118,2025-11-27
2026-09-21,011790,0.00629998,119,2025-11-27
2026-09-21,036570,0.00604874,120,2025-11-27
2026-09-21,064260,0.00603776,121,2025-11-27
2026-09-21,166090,0.00598550,122,2025-11-27
2026-09-21,035720,0.00589834,123,2025-11-27
2026-09-21,326030,0.00585338,124,2025-11-27
2026-09-21,051600,0.00583641,125,2025-11-27
2026-09-21,298020,0.00567368,126,2025-11-27
2026-09-21,015760,0.00565756,127,2025-11-27
2026-09-21,282330,0.00534686,128,2025-11-27
2026-09-21,030200,0.00529963,129,2025-11-27
2026-09-21,071050,0.00518027,130,2025-11-27
2026-09-21,060250,0.00508657,131,2025-11-27
2026-09-21,017670,0.00507853,132,2025-11-27
2026-09-21,247540,0.00504047,133,2025-11-27
2026-09-21,033780,0.00471044,134,2025-11-27
2026-09-21,310210,0.00459035,135,2025-11-27
2026-09-21,079550,0.00412362,136,2025-11-27
2026-09-21,088980,0.00411737,137,2025-11-27
2026-09-21,056080,0.00392550,138,2025-11-27
2026-09-21,000210,0.00387491,139,2025-11-27
2026-09-21,011200,0.00386487,140,2025-11-27
2026-09-21,005490,0.00371292,141,2025-11-27
2026-09-21,357780,0.00361896,142,2025-11-27
2026-09-21,074600,0.00328675,143,2025-11-27
2026-09-21,016360,0.00320052,144,2025-11-27
2026-09-21,097950,0.00315167,145,2025-11-27
2026-09-21,005290,0.00293993,146,2025-11-27
2026-09-21,257720,0.00285206,147,2025-11-27
2026-09-21,010130,0.00283797,148,2025-11-27
2026-09-21,259960,0.00273281,149,2025-11-27
2026-09-21,039490,0.00251683,150,2025-11-27
2026-09-21,047810,0.00249969,151,2025-11-27
2026-09-21,012750,0.00231500,152,2025-11-27
2026-09-21,003530,0.00206850,153,2025-11-27
2026-09-21,001440,0.00200461,154,2025-11-27
2026-09-21,277810,0.00181240,155,2025-11-27
2026-09-21,281820,0.00163973,156,2025-11-27
2026-09-21,263750,0.00086616,157,2025-11-27
2026-09-21,086280,0.00074259,158,2025-11-27
2026-09-21,000660,0.00070363,159,2025-11-27
2026-09-21,003230,0.00067746,160,2025-11-27
2026-09-21,105840,0.00036019,161,2025-11-27
2026-09-21,042660,0.00019977,162,2025-11-27
2026-09-21,066570,-0.00016242,163,2025-11-27
2026-09-21,071970,-0.00037672,164,2025-11-27
2026-09-21,452280,-0.00067690,165,2025-11-27
2026-09-21,032830,-0.00077513,166,2025-11-27
2026-09-21,035510,-0.00082929,167,2025-11-27
2026-09-21,267270,-0.00108739,168,2025-11-27
2026-09-21,051910,-0.00131203,169,2025-11-27
2026-09-21,138040,-0.00133021,170,2025-11-27
2026-09-21,086790,-0.00145261,171,2025-11-27
2026-09-21,028260,-0.00160671,172,2025-11-27
2026-09-21,035420,-0.00167389,173,2025-11-27
2026-09-21,001040,-0.00167467,174,2025-11-27
2026-09-21,004990,-0.00197265,175,2025-11-27
2026-09-21,267260,-0.00229135,176,2025-11-27
2026-09-21,138930,-0.00235555,177,2025-11-27
2026-09-21,003160,-0.00281346,178,2025-11-27
2026-09-21,068270,-0.00294607,179,2025-11-27
2026-09-21,007340,-0.00302100,180,2025-11-27
2026-09-21,161890,-0.00312356,181,2025-11-27
2026-09-21,101490,-0.00347588,182,2025-11-27
2026-09-21,086520,-0.00360917,183,2025-11-27
2026-09-21,195870,-0.00368259,184,2025-11-27
2026-09-21,278470,-0.00372631,185,2025-11-27
2026-09-21,010140,-0.00384518,186,2025-11-27
2026-09-21,204620,-0.00402509,187,2025-11-27
2026-09-21,483650,-0.00439909,188,2025-11-27
2026-09-21,352820,-0.00465173,189,2025-11-27
2026-09-21,000810,-0.00474564,190,2025-11-27
2026-09-21,047040,-0.00476429,191,2025-11-27
2026-09-21,298040,-0.00517118,192,2025-11-27
2026-09-21,183300,-0.00527270,193,2025-11-27
2026-09-21,214450,-0.00546298,194,2025-11-27
2026-09-21,002380,-0.00559821,195,2025-11-27
